Date,Ticker,grossPnL,feesTrade,netPnL,numTrade,Tag,Strategy
2025-06-26,FTSE,12.251918247766298,96.20562072056366,-83.95370247279733,55,OOS,Donchian_BO
2025-06-26,GME,-0.18502494267054814,0.11877460254941667,-0.3037995452199649,25,OOS,Donchian_BO
2025-06-26,GOOG,0.20377404349181916,1.2517094711848669,-1.047935427693048,36,OOS,Donchian_BO
2025-06-26,GSPC,7.4938616071422075,41.72807228655133,-34.23421067940913,34,OOS,Donchian_BO
2025-06-26,MSFT,-1.122947692871037,3.2735045326232917,-4.396452225494327,33,OOS,Donchian_BO
2025-06-26,NVDA,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-06-26,OPTT,-0.006594034177916597,0.0019659427691783226,-0.008559976947094917,19,OOS,Donchian_BO
2025-06-26,QQQ,0.003633771624208748,3.59922914755685,-3.5955953759326413,33,OOS,Donchian_BO
2025-06-26,RUT,5.129455566406705,28.070384782191695,-22.940929215784987,65,OOS,Donchian_BO
2025-06-26,TSLA,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-06-26,UNH,-0.3575984409877151,1.1498053338187084,-1.5074037748064235,19,OOS,Donchian_BO
2025-01-27,^DJI,175.50251116070285,276.42362737165183,-100.92111621094894,31,OOS,Donchian_BO
2025-01-27,^FTSE,9.226562500001819,84.89525458984374,-75.66869208984194,50,OOS,Donchian_BO
2025-01-27,^GSPC,-0.4259381975452925,52.74505255126954,-53.17099074881482,44,OOS,Donchian_BO
2025-01-27,^RUT,9.309640066963766,28.77862399727957,-19.46898393031581,63,OOS,Donchian_BO
2025-01-27,AAPL,0.23039954049247058,1.613853040259225,-1.3834534997667547,35,OOS,Donchian_BO
2025-01-27,AMD,3.93350519452774,0.8487638951710291,3.0847412993567103,37,OOS,Donchian_BO
2025-01-27,AMGN,4.225972856794101,1.5778581411089214,2.6481147156851805,28,OOS,Donchian_BO
2025-01-27,AMZN,-1.7635361807686252,1.862905299758911,-3.626441480527537,40,OOS,Donchian_BO
2025-01-27,GBPUSD=X,0.0008371642657682976,0.012501438555547174,-0.011664274289778877,50,OOS,Donchian_BO
2025-01-27,GME,-0.1249292918613989,0.1243080475125994,-0.24923733937399828,23,OOS,Donchian_BO
2025-01-27,GOOG,-5.0522035871233015,1.4439748268127441,-6.496178413936045,37,OOS,Donchian_BO
2025-01-27,JPYUSD=X,1.100773390914564e-05,3.5005562290150145e-05,-2.3997828381004506e-05,27,OOS,Donchian_BO
2025-01-27,MSFT,-7.220647539411232,2.327022589656285,-9.547670129067518,27,OOS,Donchian_BO
2025-01-27,NG=F,0.11864215135574385,0.035152785717589535,0.08348936563815436,48,OOS,Donchian_BO
2025-01-27,NVDA,0.7493460518973194,0.8084545156206404,-0.059108463723320404,34,OOS,Donchian_BO
2025-01-27,OPTT,0.03477116142000458,0.007266862953134945,0.02750429846686964,45,OOS,Donchian_BO
2025-01-27,QQQ,-2.0657315935405336,3.690774541909354,-5.756506135449888,36,OOS,Donchian_BO
2025-01-27,TSLA,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-01-27,UNH,-1.9056527273993424,3.155707926722935,-5.061360654122278,29,OOS,Donchian_BO
2025-02-27,AAPL,0.9888240269253004,1.0078419690813338,-0.01901794215603351,21,OOS,Donchian_BO
2025-02-27,AMD,-0.623658043997608,0.40471613788604743,-1.0283741818836551,20,OOS,Donchian_BO
2025-02-27,AMGN,0.42788805280412134,2.8895875757489895,-2.4616995229448664,47,OOS,Donchian_BO
2025-02-27,AMZN,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-02-27,DJI,122.97279575891298,304.9110867047991,-181.93829094588602,35,OOS,Donchian_BO
2025-02-27,FTSE,-22.574148995534415,89.24575071847103,-111.81989971400547,51,OOS,Donchian_BO
2025-02-27,GME,0.26584972654069716,0.12917330592700416,0.13667642061369306,26,OOS,Donchian_BO
2025-02-27,GOOG,-2.1311525617327334,1.0674857552664618,-3.198638316999195,31,OOS,Donchian_BO
2025-02-27,GSPC,55.32285853794747,40.272239589146196,15.050618948801258,34,OOS,Donchian_BO
2025-02-27,MSFT,-3.7284720284597483,1.5040689923967636,-5.232541020856514,19,OOS,Donchian_BO
2025-02-27,NVDA,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-02-27,OPTT,-0.0001293186630521026,0.004053061041448798,-0.004182379704500903,33,OOS,Donchian_BO
2025-02-27,QQQ,6.140605381556895,1.2095077992030552,4.931097582353841,12,OOS,Donchian_BO
2025-02-27,RUT,9.640572684152175,18.98986831577846,-9.349295631626283,44,OOS,Donchian_BO
2025-02-27,TSLA,-0.09351566859663762,0.33962159216744564,-0.43313726076408327,6,OOS,Donchian_BO
2025-02-27,UNH,1.1899588448660552,3.011988089861189,-1.8220292449951332,32,OOS,Donchian_BO
2025-03-27,AAPL,0.967281886509511,0.7624983288356236,0.2047835576738874,17,OOS,Donchian_BO
2025-03-27,AMD,-0.7487624032156504,0.6593179636819023,-1.4080803668975528,31,OOS,Donchian_BO
2025-03-27,AMGN,-0.48803819928849634,2.202383577510289,-2.690421776798786,36,OOS,Donchian_BO
2025-03-27,AMZN,-1.3680212838309274,1.3761240606035503,-2.7441453444344774,34,OOS,Donchian_BO
2025-03-27,DJI,-136.99023437499272,389.6543976283483,-526.644632003341,46,OOS,Donchian_BO
2025-03-27,FTSE,10.292131696432989,70.79078965541295,-60.498657958979976,41,OOS,Donchian_BO
2025-03-27,GME,0.6538891111101499,0.17602213111604972,0.47786697999410005,39,OOS,Donchian_BO
2025-03-27,GOOG,-1.9292357308523833,0.46087788156781884,-2.390113612420202,14,OOS,Donchian_BO
2025-03-27,GSPC,-50.88230678013133,60.503164444405705,-111.38547122453703,53,OOS,Donchian_BO
2025-03-27,MSFT,-0.36159406389504056,2.344256574358259,-2.7058506382533003,30,OOS,Donchian_BO
2025-03-27,NVDA,0.33281489780971185,0.04467601874215262,0.2881388790675592,2,OOS,Donchian_BO
2025-03-27,OPTT,0.0033184992415564163,0.003599694704796587,-0.00028119546324016973,37,OOS,Donchian_BO
2025-03-27,QQQ,-1.365791320800838,3.771844036102295,-5.137635356903132,39,OOS,Donchian_BO
2025-03-27,RUT,0.23551722935326325,28.553687438092922,-28.318170208739655,69,OOS,Donchian_BO
2025-03-27,TSLA,-4.850540161132869,1.848963188171387,-6.699503349304257,33,OOS,Donchian_BO
2025-03-27,UNH,-0.40479605538484975,3.0899360619681233,-3.4947321173529717,30,OOS,Donchian_BO
2025-05-27,AAPL,1.1795349121093466,1.1597482345581058,0.019786677551241173,29,OOS,Donchian_BO
2025-05-27,AMD,0.0,0.0,0.0,0,OOS,Donchian_BO
2025-05-27,AMGN,-1.8804746355330053,2.5588469062805186,-4.4393215418135235,46,OOS,Donchian_BO
